Case,Model,Accuracy,Sensitivity,Specificity,TP,TN,FP,FN,Params,Size_KB,FLOPs,Latency_ms
3axis_no_HR,CNN_Only,0.8538597525044196,0.8510998307952623,0.8553345388788427,503,946,160,88,226241,883.75390625,26004769,168.2155990600586
3axis_no_HR,LSTM_Only,0.8385385975250442,0.8071065989847716,0.8553345388788427,477,946,160,114,146113,570.75390625,429601,202.81038761138916
3axis_no_HR,CNN_LSTM_Unidirectional,0.8632881555686506,0.8781725888324873,0.8553345388788427,519,946,160,72,323009,1261.75390625,26363809,100.64927339553833
3axis_no_HR,Transformer,0.774896876841485,0.6209813874788495,0.8571428571428571,367,948,158,224,5235,20.44921875,18246113,402.7912163734436
3axis_no_HR,CNN_BiLSTM,0.8479670005892752,0.9272419627749577,0.8056057866184448,548,891,215,43,477121,1863.75390625,26903073,295.9220266342163
3axis_no_HR,CNN_GRU,0.8615203299941072,0.8510998307952623,0.8670886075949367,503,959,147,88,411201,1606.25390625,20298913,259.9090051651001
3axis_no_HR,CNN_BiGRU,0.8609310548025928,0.8071065989847716,0.8896925858951176,477,984,122,114,769089,3004.25390625,21507489,283.22729110717773
3axis_no_HR,GRU_Only,0.8432527990571597,0.7969543147208121,0.8679927667269439,471,960,146,120,44545,174.00390625,115361,93.45553874969482
3axis_no_HR,BiGRU_Only,0.8479670005892752,0.8087986463620981,0.8688969258589512,478,961,145,113,113473,443.25390625,328737,98.6792778968811
3axis_no_HR,TCN,0.8467884502062463,0.8866328257191202,0.825497287522604,524,913,193,67,363329,1419.25390625,88996129,88.54111194610596
3axis_no_HR,MultiScale_SE_BiLSTM,0.8579846788450206,0.7935702199661591,0.8924050632911392,469,987,119,122,443421,1732.11328125,21325437,89.81481790542603
3axis_with_HR,CNN_Only,0.859752504419564,0.8460236886632826,0.8670886075949367,500,959,147,91,227809,889.87890625,26007889,90.672447681427
3axis_with_HR,LSTM_Only,0.8497348261638185,0.8087986463620981,0.8716094032549728,478,964,142,113,147681,576.87890625,432721,99.68149423599243
