Advanced DL Experiment Results
============================================================
         Case                Model  Accuracy  Sensitivity  Specificity  TP   TN  FP  FN  Params     Size_KB    FLOPs  Latency_ms
  3axis_no_HR             CNN_Only  0.826164     0.852792     0.811935 504  898 208  87  226241  883.753906 26004769  129.864721
  3axis_no_HR            LSTM_Only  0.839128     0.842640     0.837251 498  926 180  93   56769  221.753906   149409  109.705281
  3axis_no_HR          BiLSTM_Only  0.838539     0.847716     0.833635 501  922 184  90  146113  570.753906   429601  104.759667
  3axis_no_HR             CNN_LSTM  0.832646     0.915398     0.788427 541  872 234  50  323009 1261.753906 26363809  101.960883
  3axis_no_HR          Transformer  0.805539     0.636210     0.896022 376  991 115 215    5235   20.449219 18246113   95.857801
  3axis_no_HR           CNN_BiLSTM  0.853860     0.886633     0.836347 524  925 181  67  477121 1863.753906 26903073  126.128402
  3axis_no_HR              CNN_GRU  0.856806     0.857868     0.856239 507  947 159  84  294593 1150.753906 26264993   93.968043
  3axis_no_HR            CNN_BiGRU  0.849146     0.903553     0.820072 534  907 199  57  412097 1609.753906 26672673   92.789271
  3axis_no_HR             GRU_Only  0.830878     0.878173     0.805606 519  891 215  72   44545  174.003906   115361   93.836091
  3axis_no_HR           BiGRU_Only  0.845021     0.862944     0.835443 510  924 182  81  113473  443.253906   328737  118.153427
  3axis_no_HR                  TCN  0.819682     0.796954     0.831826 471  920 186 120  363329 1419.253906 88996129   91.776347
  3axis_no_HR MultiScale_SE_BiLSTM  0.843253     0.906937     0.809222 536  895 211  55  443421 1732.113281 21325437   90.386527
3axis_with_HR             CNN_Only  0.835003     0.900169     0.800181 532  885 221  59  227809  889.878906 26007889   92.090695
3axis_with_HR            LSTM_Only  0.831467     0.805415     0.845389 476  935 171 115   58337  227.878906   152529   97.457781
3axis_with_HR          BiLSTM_Only  0.832057     0.847716     0.823689 501  911 195  90  147681  576.878906   432721  104.861772
3axis_with_HR             CNN_LSTM  0.837360     0.898477     0.804702 531  890 216  60  324577 1267.878906 26366929   94.298611
3axis_with_HR          Transformer  0.813200     0.661591     0.894213 391  989 117 200    6803   26.574219 18249233   92.184997
3axis_with_HR           CNN_BiLSTM  0.835003     0.893401     0.803797 528  889 217  63  478689 1869.878906 26906193   96.138499
3axis_with_HR              CNN_GRU  0.834414     0.901861     0.798373 533  883 223  58  296161 1156.878906 26268113   94.614639
3axis_with_HR            CNN_BiGRU  0.835003     0.915398     0.792043 541  876 230  50  413665 1615.878906 26675793   94.514978
3axis_with_HR             GRU_Only  0.839717     0.844332     0.837251 499  926 180  92   46113  180.128906   118481  102.731857
3axis_with_HR           BiGRU_Only  0.844431     0.842640     0.845389 498  935 171  93  115041  449.378906   331857  105.889497
3axis_with_HR                  TCN  0.858574     0.869712     0.852622 514  943 163  77  364897 1425.378906 88999249   94.572546
3axis_with_HR MultiScale_SE_BiLSTM  0.837949     0.923858     0.792043 546  876 230  45  444989 1738.238281 21328557   94.330091
  6axis_no_HR             CNN_Only  0.886001     0.891525     0.883046 526  974 129  64  228545  892.753906 26594593   88.917925
  6axis_no_HR            LSTM_Only  0.861784     0.815254     0.886673 481  978 125 109   57537  224.753906   152481   95.785463
  6axis_no_HR          BiLSTM_Only  0.859421     0.844068     0.867634 498  957 146  92  147649  576.753906   435745   99.170139
  6axis_no_HR             CNN_LSTM  0.890136     0.913559     0.877607 539  968 135  51  325313 1270.753906 26953633   90.274262
  6axis_no_HR          Transformer  0.814530     0.761017     0.843155 449  930 173 141    9381   36.644531 19238561   88.436496
  6axis_no_HR           CNN_BiLSTM  0.870053     0.789831     0.912965 466 1007  96 124  479425 1872.753906 27492897   90.702500
  6axis_no_HR              CNN_GRU  0.878913     0.916949     0.858568 541  947 156  49  296897 1159.753906 26854817   91.344318
  6axis_no_HR            CNN_BiGRU  0.884229     0.872881     0.890299 515  982 121  75  414401 1618.753906 27262497   90.753272
