Dataset,Case,Model,Accuracy,Sensitivity,Specificity,TP,TN,FP,FN,Params,Size_KB,FLOPs,Latency_ms
HIFD,3axis_no_HR,CNN_Only,0.90625,0.9274193548387096,0.9,230,756,84,18,226241,883.75390625,26004769,101.14686012268066
HIFD,3axis_no_HR,LSTM_Only,0.8428308823529411,0.9354838709677419,0.8154761904761905,232,685,155,16,56769,221.75390625,149409,115.39765357971191
HIFD,3axis_no_HR,BiLSTM_Only,0.8520220588235294,0.9354838709677419,0.8273809523809523,232,695,145,16,146113,570.75390625,429601,109.33472633361816
HIFD,3axis_no_HR,CNN_LSTM,0.921875,0.8266129032258065,0.95,205,798,42,43,323009,1261.75390625,26363809,100.52124977111816
HIFD,3axis_no_HR,Transformer,0.8455882352941176,0.9233870967741935,0.8226190476190476,229,691,149,19,5235,20.44921875,18246113,103.8605546951294
HIFD,3axis_no_HR,CNN_BiLSTM,0.9126838235294118,0.9516129032258065,0.9011904761904762,236,757,83,12,477121,1863.75390625,26903073,104.23361778259277
HIFD,3axis_no_HR,CNN_GRU,0.8740808823529411,0.8911290322580645,0.8690476190476191,221,730,110,27,294593,1150.75390625,26264993,106.63260459899902
HIFD,3axis_no_HR,CNN_BiGRU,0.90625,0.8830645161290323,0.9130952380952381,219,767,73,29,412097,1609.75390625,26672673,112.08319187164307
HIFD,3axis_no_HR,GRU_Only,0.8795955882352942,0.9637096774193549,0.8547619047619047,239,718,122,9,44545,174.00390625,115361,102.4605941772461
HIFD,3axis_no_HR,BiGRU_Only,0.7536764705882353,0.8588709677419355,0.7226190476190476,213,607,233,35,113473,443.25390625,328737,108.43729019165039
HIFD,3axis_no_HR,TCN,0.7729779411764706,0.004032258064516129,1.0,1,840,0,247,363329,1419.25390625,88996129,98.5785722732544
HIFD,3axis_no_HR,MultiScale_SE_BiLSTM,0.8943014705882353,0.9798387096774194,0.8690476190476191,243,730,110,5,443421,1732.11328125,21325437,97.37658977508545
HIFD,3axis_with_HR,CNN_Only,0.9080882352941176,0.8951612903225806,0.9119047619047619,222,766,74,26,227809,889.87890625,26007889,96.81004524230957
HIFD,3axis_with_HR,LSTM_Only,0.8648897058823529,0.9193548387096774,0.8488095238095238,228,713,127,20,58337,227.87890625,152529,108.34602355957031
HIFD,3axis_with_HR,BiLSTM_Only,0.8612132352941176,0.9475806451612904,0.8357142857142857,235,702,138,13,147681,576.87890625,432721,119.72313404083252
HIFD,3axis_with_HR,CNN_LSTM,0.9108455882352942,0.967741935483871,0.8940476190476191,240,751,89,8,324577,1267.87890625,26366929,99.1313886642456
HIFD,3axis_with_HR,Transformer,0.8538602941176471,0.875,0.8476190476190476,217,712,128,31,6803,26.57421875,18249233,113.3847188949585
HIFD,3axis_with_HR,CNN_BiLSTM,0.9163602941176471,0.8306451612903226,0.9416666666666667,206,791,49,42,478689,1869.87890625,26906193,143.36984157562256
HIFD,3axis_with_HR,CNN_GRU,0.8814338235294118,0.8830645161290323,0.8809523809523809,219,740,100,29,296161,1156.87890625,26268113,143.32899570465088
HIFD,3axis_with_HR,CNN_BiGRU,0.9246323529411765,0.875,0.9392857142857143,217,789,51,31,413665,1615.87890625,26675793,101.39204978942871
HIFD,3axis_with_HR,GRU_Only,0.8630514705882353,0.9395161290322581,0.8404761904761905,233,706,134,15,46113,180.12890625,118481,124.4188117980957
HIFD,3axis_with_HR,BiGRU_Only,0.8694852941176471,0.9274193548387096,0.8523809523809524,230,716,124,18,115041,449.37890625,331857,111.73361778259277
HIFD,3axis_with_HR,TCN,0.7748161764705882,0.016129032258064516,0.9988095238095238,4,839,1,244,364897,1425.37890625,88999249,99.09414291381836
HIFD,3axis_with_HR,MultiScale_SE_BiLSTM,0.9016544117647058,0.907258064516129,0.9,225,756,84,23,444989,1738.23828125,21328557,102.06754684448242
HIFD,6axis_no_HR,CNN_Only,0.8851102941176471,0.9112903225806451,0.8773809523809524,226,737,103,22,228545,892.75390625,26594593,97.85791873931885
HIFD,6axis_no_HR,LSTM_Only,0.8685661764705882,0.9475806451612904,0.8452380952380952,235,710,130,13,57537,224.75390625,152481,103.3867597579956
HIFD,6axis_no_HR,BiLSTM_Only,0.8676470588235294,0.9274193548387096,0.85,230,714,126,18,147649,576.75390625,435745,106.53729438781738
HIFD,6axis_no_HR,CNN_LSTM,0.8887867647058824,0.9233870967741935,0.8785714285714286,229,738,102,19,325313,1270.75390625,26953633,94.79613780975342
HIFD,6axis_no_HR,Transformer,0.8676470588235294,0.9556451612903226,0.8416666666666667,237,707,133,11,9381,36.64453125,19238561,96.46546363830566
HIFD,6axis_no_HR,CNN_BiLSTM,0.8961397058823529,0.9435483870967742,0.8821428571428571,234,741,99,14,479425,1872.75390625,27492897,96.76756858825684
HIFD,6axis_no_HR,CNN_GRU,0.8970588235294118,0.9435483870967742,0.8833333333333333,234,742,98,14,296897,1159.75390625,26854817,94.97388362884521
HIFD,6axis_no_HR,CNN_BiGRU,0.9034926470588235,0.9112903225806451,0.9011904761904762,226,757,83,22,414401,1618.75390625,27262497,97.46742725372314
HIFD,6axis_no_HR,GRU_Only,0.8887867647058824,0.9637096774193549,0.8666666666666667,239,728,112,9,45121,176.25390625,117665,103.75269889831543
HIFD,6axis_no_HR,BiGRU_Only,0.8897058823529411,0.9596774193548387,0.8690476190476191,238,730,110,10,114625,447.75390625,333345,110.87644100189209
HIFD,6axis_no_HR,TCN,0.8795955882352942,0.8306451612903226,0.8940476190476191,206,751,89,42,364865,1425.25390625,89389345,100.50765037536621
HIFD,6axis_no_HR,MultiScale_SE_BiLSTM,0.9053308823529411,0.875,0.9142857142857143,217,768,72,31,448221,1750.86328125,22554237,102.991623878479
HIFD,6axis_with_HR,CNN_Only,0.8878676470588235,0.9475806451612904,0.8702380952380953,235,731,109,13,230113,898.87890625,26597713,99.34492588043213
HIFD,6axis_with_HR,LSTM_Only,0.8639705882352942,0.9516129032258065,0.8380952380952381,236,704,136,12,59105,230.87890625,155601,106.12026691436768
HIFD,6axis_with_HR,BiLSTM_Only,0.8759191176470589,0.9475806451612904,0.8547619047619047,235,718,122,13,149217,582.87890625,438865,112.63692378997803
HIFD,6axis_with_HR,CNN_LSTM,0.9154411764705882,0.8588709677419355,0.9321428571428572,213,783,57,35,326881,1276.87890625,26956753,104.74482536315918
HIFD,6axis_with_HR,Transformer,0.8658088235294118,0.9516129032258065,0.8404761904761905,236,706,134,12,10949,42.76953125,19241681,103.60089302062988
HIFD,6axis_with_HR,CNN_BiLSTM,0.8988970588235294,0.9637096774193549,0.8797619047619047,239,739,101,9,480993,1878.87890625,27496017,105.77853202819824
HIFD,6axis_with_HR,CNN_GRU,0.9145220588235294,0.8709677419354839,0.9273809523809524,216,779,61,32,298465,1165.87890625,26857937,102.0804500579834
HIFD,6axis_with_HR,CNN_BiGRU,0.8915441176470589,0.9153225806451613,0.8845238095238095,227,743,97,21,415969,1624.87890625,27265617,102.4984073638916
