Case,Model,Accuracy,Sensitivity,Specificity,TP,TN,FP,FN,Params,Size_KB,FLOPs,Latency_ms
3axis_no_HR,CNN_Only,0.9845814977973568,0.968,0.9908814589665653,121,326,3,4,226241,883.75390625,26004769,572.6627683639526
3axis_no_HR,LSTM_Only,0.9823788546255506,0.944,0.9969604863221885,118,328,1,7,146113,570.75390625,429601,657.2904658317566
3axis_no_HR,CNN_LSTM_Unidirectional,1.0,1.0,1.0,125,329,0,0,323009,1261.75390625,26363809,610.1558542251587
3axis_no_HR,Transformer,0.9251101321585903,0.8,0.9726443768996961,100,320,9,25,5235,20.44921875,18246113,164.8377251625061
3axis_no_HR,CNN_BiLSTM,1.0,1.0,1.0,125,329,0,0,477121,1863.75390625,26903073,539.7881984710693
3axis_no_HR,CNN_GRU,1.0,1.0,1.0,125,329,0,0,294593,1150.75390625,26264993,575.9987497329712
3axis_no_HR,CNN_BiGRU,0.9977973568281938,0.992,1.0,124,329,0,1,412097,1609.75390625,26672673,588.1796216964722
3axis_no_HR,GRU_Only,0.973568281938326,0.944,0.9848024316109423,118,324,5,7,44545,174.00390625,115361,246.9523525238037
3axis_no_HR,BiGRU_Only,0.973568281938326,0.912,0.9969604863221885,114,328,1,11,113473,443.25390625,328737,452.8307008743286
3axis_no_HR,TCN,0.9823788546255506,0.976,0.9848024316109423,122,324,5,3,363329,1419.25390625,88996129,102.6874041557312
3axis_no_HR,MultiScale_SE_BiLSTM,1.0,1.0,1.0,125,329,0,0,443421,1732.11328125,21325437,468.1617784500122
6axis_no_HR,CNN_Only,0.9816091954022989,0.968,0.9870967741935484,121,306,4,4,228545,892.75390625,26594593,431.17111444473267
6axis_no_HR,LSTM_Only,0.9770114942528736,0.96,0.9838709677419355,120,305,5,5,147649,576.75390625,435745,453.1998872756958
6axis_no_HR,CNN_LSTM_Unidirectional,0.9862068965517241,0.976,0.9903225806451613,122,307,3,3,325313,1270.75390625,26953633,432.77849435806274
6axis_no_HR,Transformer,0.9333333333333333,0.912,0.9419354838709677,114,292,18,11,9381,36.64453125,19238561,486.29029989242554
6axis_no_HR,CNN_BiLSTM,0.9885057471264368,0.976,0.9935483870967742,122,308,2,3,479425,1872.75390625,27492897,447.47583627700806
6axis_no_HR,CNN_GRU,0.9862068965517241,0.976,0.9903225806451613,122,307,3,3,296897,1159.75390625,26854817,157.578387260437
6axis_no_HR,CNN_BiGRU,0.9862068965517241,0.976,0.9903225806451613,122,307,3,3,414401,1618.75390625,27262497,434.3169116973877
6axis_no_HR,GRU_Only,0.960919540229885,0.976,0.9548387096774194,122,296,14,3,45121,176.25390625,117665,328.99908781051636
6axis_no_HR,BiGRU_Only,0.9586206896551724,0.976,0.9516129032258065,122,295,15,3,114625,447.75390625,333345,365.3586792945862
6axis_no_HR,TCN,0.9793103448275862,0.944,0.9935483870967742,118,308,2,7,364865,1425.25390625,89389345,274.8670220375061
6axis_no_HR,MultiScale_SE_BiLSTM,0.9908045977011494,0.984,0.9935483870967742,123,308,2,2,448221,1750.86328125,22554237,249.15887594223022
9axis_no_HR,CNN_Only,0.993103448275862,0.984,0.9967741935483871,123,309,1,2,230849,901.75390625,27184417,255.6352210044861
9axis_no_HR,LSTM_Only,0.9793103448275862,0.968,0.9838709677419355,121,305,5,4,149185,582.75390625,441889,408.62528800964355
9axis_no_HR,CNN_LSTM_Unidirectional,0.9954022988505747,1.0,0.9935483870967742,125,308,2,0,327617,1279.75390625,27543457,405.0813841819763
9axis_no_HR,Transformer,0.9448275862068966,0.92,0.9548387096774194,115,296,14,10,13527,52.83984375,20231009,94.04228925704956
9axis_no_HR,CNN_BiLSTM,0.9908045977011494,0.992,0.9903225806451613,124,307,3,1,481729,1881.75390625,28082721,421.43214225769043
9axis_no_HR,CNN_GRU,0.9908045977011494,0.984,0.9935483870967742,123,308,2,2,299201,1168.75390625,27444641,396.3598322868347
9axis_no_HR,CNN_BiGRU,0.9839080459770115,0.968,0.9903225806451613,121,307,3,4,416705,1627.75390625,27852321,229.32764291763306
9axis_no_HR,GRU_Only,0.9655172413793104,0.976,0.9612903225806452,122,298,12,3,45697,178.50390625,119969,310.2267599105835
9axis_no_HR,BiGRU_Only,0.9724137931034482,0.984,0.967741935483871,123,300,10,2,115777,452.25390625,337953,401.9393825531006
9axis_no_HR,TCN,0.9862068965517241,0.968,0.9935483870967742,121,308,2,4,366401,1431.25390625,89782561,488.0306625366211
9axis_no_HR,MultiScale_SE_BiLSTM,0.9908045977011494,0.984,0.9935483870967742,123,308,2,2,453021,1769.61328125,23783037,413.9596915245056
