UMAFall DL Experiment Results Summary
============================================================
       Case                   Model  Accuracy  Sensitivity  Specificity  TP  TN  FP  FN  Params     Size_KB    FLOPs  Latency_ms
3axis_no_HR                CNN_Only  0.984581        0.968     0.990881 121 326   3   4  226241  883.753906 26004769  572.662768
3axis_no_HR               LSTM_Only  0.982379        0.944     0.996960 118 328   1   7  146113  570.753906   429601  657.290466
3axis_no_HR CNN_LSTM_Unidirectional  1.000000        1.000     1.000000 125 329   0   0  323009 1261.753906 26363809  610.155854
3axis_no_HR             Transformer  0.925110        0.800     0.972644 100 320   9  25    5235   20.449219 18246113  164.837725
3axis_no_HR              CNN_BiLSTM  1.000000        1.000     1.000000 125 329   0   0  477121 1863.753906 26903073  539.788198
3axis_no_HR                 CNN_GRU  1.000000        1.000     1.000000 125 329   0   0  294593 1150.753906 26264993  575.998750
3axis_no_HR               CNN_BiGRU  0.997797        0.992     1.000000 124 329   0   1  412097 1609.753906 26672673  588.179622
3axis_no_HR                GRU_Only  0.973568        0.944     0.984802 118 324   5   7   44545  174.003906   115361  246.952353
3axis_no_HR              BiGRU_Only  0.973568        0.912     0.996960 114 328   1  11  113473  443.253906   328737  452.830701
3axis_no_HR                     TCN  0.982379        0.976     0.984802 122 324   5   3  363329 1419.253906 88996129  102.687404
3axis_no_HR    MultiScale_SE_BiLSTM  1.000000        1.000     1.000000 125 329   0   0  443421 1732.113281 21325437  468.161778
6axis_no_HR                CNN_Only  0.981609        0.968     0.987097 121 306   4   4  228545  892.753906 26594593  431.171114
6axis_no_HR               LSTM_Only  0.977011        0.960     0.983871 120 305   5   5  147649  576.753906   435745  453.199887
6axis_no_HR CNN_LSTM_Unidirectional  0.986207        0.976     0.990323 122 307   3   3  325313 1270.753906 26953633  432.778494
6axis_no_HR             Transformer  0.933333        0.912     0.941935 114 292  18  11    9381   36.644531 19238561  486.290300
6axis_no_HR              CNN_BiLSTM  0.988506        0.976     0.993548 122 308   2   3  479425 1872.753906 27492897  447.475836
6axis_no_HR                 CNN_GRU  0.986207        0.976     0.990323 122 307   3   3  296897 1159.753906 26854817  157.578387
6axis_no_HR               CNN_BiGRU  0.986207        0.976     0.990323 122 307   3   3  414401 1618.753906 27262497  434.316912
6axis_no_HR                GRU_Only  0.960920        0.976     0.954839 122 296  14   3   45121  176.253906   117665  328.999088
6axis_no_HR              BiGRU_Only  0.958621        0.976     0.951613 122 295  15   3  114625  447.753906   333345  365.358679
6axis_no_HR                     TCN  0.979310        0.944     0.993548 118 308   2   7  364865 1425.253906 89389345  274.867022
6axis_no_HR    MultiScale_SE_BiLSTM  0.990805        0.984     0.993548 123 308   2   2  448221 1750.863281 22554237  249.158876
9axis_no_HR                CNN_Only  0.993103        0.984     0.996774 123 309   1   2  230849  901.753906 27184417  255.635221
9axis_no_HR               LSTM_Only  0.979310        0.968     0.983871 121 305   5   4  149185  582.753906   441889  408.625288
9axis_no_HR CNN_LSTM_Unidirectional  0.995402        1.000     0.993548 125 308   2   0  327617 1279.753906 27543457  405.081384
9axis_no_HR             Transformer  0.944828        0.920     0.954839 115 296  14  10   13527   52.839844 20231009   94.042289
9axis_no_HR              CNN_BiLSTM  0.990805        0.992     0.990323 124 307   3   1  481729 1881.753906 28082721  421.432142
9axis_no_HR                 CNN_GRU  0.990805        0.984     0.993548 123 308   2   2  299201 1168.753906 27444641  396.359832
9axis_no_HR               CNN_BiGRU  0.983908        0.968     0.990323 121 307   3   4  416705 1627.753906 27852321  229.327643
9axis_no_HR                GRU_Only  0.965517        0.976     0.961290 122 298  12   3   45697  178.503906   119969  310.226760
9axis_no_HR              BiGRU_Only  0.972414        0.984     0.967742 123 300  10   2  115777  452.253906   337953  401.939383
9axis_no_HR                     TCN  0.986207        0.968     0.993548 121 308   2   4  366401 1431.253906 89782561  488.030663
9axis_no_HR    MultiScale_SE_BiLSTM  0.990805        0.984     0.993548 123 308   2   2  453021 1769.613281 23783037  413.959692
============================================================
