Case,Model,Accuracy,Sensitivity,Specificity,TP,TN,FP,FN,Params,Size_KB,FLOPs,Latency_ms
3axis_no_HR,CNN_Only,0.9801762114537445,0.96,0.9878419452887538,120,325,4,5,226241,883.75390625,26004769,88.62912893295288
3axis_no_HR,LSTM_Only,0.9757709251101322,0.944,0.9878419452887538,118,325,4,7,56769,221.75390625,149409,109.93984937667847
3axis_no_HR,BiLSTM_Only,0.9757709251101322,0.936,0.9908814589665653,117,326,3,8,146113,570.75390625,429601,97.68723487854004
3axis_no_HR,CNN_LSTM,0.9955947136563876,0.992,0.9969604863221885,124,328,1,1,323009,1261.75390625,26363809,87.58156061172485
3axis_no_HR,Transformer,0.9405286343612335,0.832,0.9817629179331308,104,323,6,21,5235,20.44921875,18246113,86.58162593841553
3axis_no_HR,CNN_BiLSTM,0.9977973568281938,1.0,0.9969604863221885,125,328,1,0,477121,1863.75390625,26903073,88.11490058898926
3axis_no_HR,CNN_GRU,0.9933920704845814,0.976,1.0,122,329,0,3,294593,1150.75390625,26264993,93.40871334075928
3axis_no_HR,CNN_BiGRU,0.9977973568281938,0.992,1.0,124,329,0,1,412097,1609.75390625,26672673,94.25246238708496
3axis_no_HR,GRU_Only,0.9625550660792952,0.928,0.9756838905775076,116,321,8,9,44545,174.00390625,115361,110.06954193115234
3axis_no_HR,BiGRU_Only,0.9889867841409692,0.968,0.9969604863221885,121,328,1,4,113473,443.25390625,328737,104.68220472335815
3axis_no_HR,TCN,0.8502202643171806,0.464,0.9969604863221885,58,328,1,67,363329,1419.25390625,88996129,94.60678339004517
3axis_no_HR,MultiScale_SE_BiLSTM,1.0,1.0,1.0,125,329,0,0,443421,1732.11328125,21325437,98.32779169082642
6axis_no_HR,CNN_Only,0.9862068965517241,0.976,0.9903225806451613,122,307,3,3,228545,892.75390625,26594593,101.81694984436035
6axis_no_HR,LSTM_Only,0.9747126436781609,0.968,0.9774193548387097,121,303,7,4,57537,224.75390625,152481,109.84545469284058
6axis_no_HR,BiLSTM_Only,0.9793103448275862,0.968,0.9838709677419355,121,305,5,4,147649,576.75390625,435745,153.95492792129517
6axis_no_HR,CNN_LSTM,0.9908045977011494,0.984,0.9935483870967742,123,308,2,2,325313,1270.75390625,26953633,104.74321126937866
6axis_no_HR,Transformer,0.9448275862068966,0.912,0.9580645161290322,114,297,13,11,9381,36.64453125,19238561,101.30758285522461
6axis_no_HR,CNN_BiLSTM,0.9862068965517241,0.984,0.9870967741935484,123,306,4,2,479425,1872.75390625,27492897,103.16656351089478
6axis_no_HR,CNN_GRU,0.9839080459770115,0.976,0.9870967741935484,122,306,4,3,296897,1159.75390625,26854817,100.08850574493408
6axis_no_HR,CNN_BiGRU,0.9816091954022989,0.968,0.9870967741935484,121,306,4,4,414401,1618.75390625,27262497,106.58927917480469
6axis_no_HR,GRU_Only,0.9563218390804598,0.976,0.9483870967741935,122,294,16,3,45121,176.25390625,117665,98.83064031600952
6axis_no_HR,BiGRU_Only,0.9494252873563218,0.968,0.9419354838709677,121,292,18,4,114625,447.75390625,333345,102.9372763633728
6axis_no_HR,TCN,0.9747126436781609,0.944,0.9870967741935484,118,306,4,7,364865,1425.25390625,89389345,87.95842409133911
6axis_no_HR,MultiScale_SE_BiLSTM,0.9816091954022989,0.968,0.9870967741935484,121,306,4,4,448221,1750.86328125,22554237,106.7956805229187
9axis_no_HR,CNN_Only,0.9908045977011494,0.984,0.9935483870967742,123,308,2,2,230849,901.75390625,27184417,108.97786855697632
9axis_no_HR,LSTM_Only,0.9908045977011494,0.984,0.9935483870967742,123,308,2,2,58305,227.75390625,155553,94.3471360206604
9axis_no_HR,BiLSTM_Only,0.9862068965517241,0.992,0.9838709677419355,124,305,5,1,149185,582.75390625,441889,115.99424600601196
9axis_no_HR,CNN_LSTM,0.993103448275862,0.992,0.9935483870967742,124,308,2,1,327617,1279.75390625,27543457,95.3348159790039
9axis_no_HR,Transformer,0.9540229885057471,0.928,0.964516129032258,116,299,11,9,13527,52.83984375,20231009,94.89957332611084
9axis_no_HR,CNN_BiLSTM,0.9908045977011494,0.984,0.9935483870967742,123,308,2,2,481729,1881.75390625,28082721,89.00468587875366
9axis_no_HR,CNN_GRU,0.9839080459770115,0.984,0.9838709677419355,123,305,5,2,299201,1168.75390625,27444641,89.16221857070923
9axis_no_HR,CNN_BiGRU,0.9862068965517241,0.976,0.9903225806451613,122,307,3,3,416705,1627.75390625,27852321,90.39628982543945
9axis_no_HR,GRU_Only,0.9862068965517241,0.992,0.9838709677419355,124,305,5,1,45697,178.50390625,119969,98.51483106613159
9axis_no_HR,BiGRU_Only,0.9793103448275862,0.992,0.9741935483870968,124,302,8,1,115777,452.25390625,337953,124.19174909591675
9axis_no_HR,TCN,0.967816091954023,0.912,0.9903225806451613,114,307,3,11,366401,1431.25390625,89782561,95.43941736221313
9axis_no_HR,MultiScale_SE_BiLSTM,0.9908045977011494,0.984,0.9935483870967742,123,308,2,2,453021,1769.61328125,23783037,99.44136381149292
