UMAFall DL Experiment Results Summary
============================================================
       Case                Model  Accuracy  Sensitivity  Specificity  TP  TN  FP  FN  Params     Size_KB    FLOPs  Latency_ms
3axis_no_HR             CNN_Only  0.986784        0.968     0.993921 121 327   2   4  226241  883.753906 26004769   93.586752
3axis_no_HR            LSTM_Only  0.971366        0.944     0.981763 118 323   6   7   56769  221.753906   149409  123.977017
3axis_no_HR          BiLSTM_Only  0.986784        0.960     0.996960 120 328   1   5  146113  570.753906   429601  102.565875
3axis_no_HR             CNN_LSTM  0.995595        0.992     0.996960 124 328   1   1  323009 1261.753906 26363809   92.249377
3axis_no_HR          Transformer  0.940529        0.856     0.972644 107 320   9  18    5235   20.449219 18246113   93.113589
3axis_no_HR           CNN_BiLSTM  0.997797        0.992     1.000000 124 329   0   1  477121 1863.753906 26903073   92.922571
3axis_no_HR              CNN_GRU  0.993392        0.976     1.000000 122 329   0   3  294593 1150.753906 26264993   92.754099
3axis_no_HR            CNN_BiGRU  0.993392        0.984     0.996960 123 328   1   2  412097 1609.753906 26672673   99.337595
3axis_no_HR             GRU_Only  0.973568        0.944     0.984802 118 324   5   7   44545  174.003906   115361   99.425507
3axis_no_HR           BiGRU_Only  0.980176        0.936     0.996960 117 328   1   8  113473  443.253906   328737  108.472812
3axis_no_HR                  TCN  0.969163        0.960     0.972644 120 320   9   5  363329 1419.253906 88996129  100.000615
3axis_no_HR MultiScale_SE_BiLSTM  0.993392        1.000     0.990881 125 326   3   0  443421 1732.113281 21325437   95.676546
6axis_no_HR             CNN_Only  0.979310        0.960     0.987097 120 306   4   5  228545  892.753906 26594593   93.100388
6axis_no_HR            LSTM_Only  0.979310        0.968     0.983871 121 305   5   4   57537  224.753906   152481  100.258017
6axis_no_HR          BiLSTM_Only  0.974713        0.944     0.987097 118 306   4   7  147649  576.753906   435745  110.375464
6axis_no_HR             CNN_LSTM  0.983908        0.976     0.987097 122 306   4   3  325313 1270.753906 26953633   98.337269
6axis_no_HR          Transformer  0.954023        0.920     0.967742 115 300  10  10    9381   36.644531 19238561   95.972376
6axis_no_HR           CNN_BiLSTM  0.981609        0.960     0.990323 120 307   3   5  479425 1872.753906 27492897   99.316661
6axis_no_HR              CNN_GRU  0.977011        0.960     0.983871 120 305   5   5  296897 1159.753906 26854817   97.693350
6axis_no_HR            CNN_BiGRU  0.981609        0.968     0.987097 121 306   4   4  414401 1618.753906 27262497   96.101961
6axis_no_HR             GRU_Only  0.958621        0.968     0.954839 121 296  14   4   45121  176.253906   117665  115.507746
6axis_no_HR           BiGRU_Only  0.958621        0.960     0.958065 120 297  13   5  114625  447.753906   333345  107.039979
6axis_no_HR                  TCN  0.983908        0.960     0.993548 120 308   2   5  364865 1425.253906 89389345  109.781337
6axis_no_HR MultiScale_SE_BiLSTM  0.983908        0.976     0.987097 122 306   4   3  448221 1750.863281 22554237   95.064580
9axis_no_HR             CNN_Only  0.986207        0.968     0.993548 121 308   2   4  230849  901.753906 27184417   92.571850
9axis_no_HR            LSTM_Only  0.988506        0.992     0.987097 124 306   4   1   58305  227.753906   155553   97.369931
9axis_no_HR          BiLSTM_Only  0.986207        0.984     0.987097 123 306   4   2  149185  582.753906   441889  106.508172
9axis_no_HR             CNN_LSTM  0.990805        0.984     0.993548 123 308   2   2  327617 1279.753906 27543457   93.864229
9axis_no_HR          Transformer  0.960920        0.944     0.967742 118 300  10   7   13527   52.839844 20231009   93.731191
9axis_no_HR           CNN_BiLSTM  0.995402        1.000     0.993548 125 308   2   0  481729 1881.753906 28082721  114.353132
9axis_no_HR              CNN_GRU  0.988506        0.984     0.990323 123 307   3   2  299201 1168.753906 27444641  113.057108
9axis_no_HR            CNN_BiGRU  0.986207        0.984     0.987097 123 306   4   2  416705 1627.753906 27852321  113.662601
9axis_no_HR             GRU_Only  0.974713        0.992     0.967742 124 300  10   1   45697  178.503906   119969  110.903881
9axis_no_HR           BiGRU_Only  0.981609        0.992     0.977419 124 303   7   1  115777  452.253906   337953  108.348436
9axis_no_HR                  TCN  0.974713        0.936     0.990323 117 307   3   8  366401 1431.253906 89782561  115.415511
9axis_no_HR MultiScale_SE_BiLSTM  0.986207        0.984     0.987097 123 306   4   2  453021 1769.613281 23783037  107.459865
============================================================
