Traditional ML Experiment Results Summary
==================================================
         Case        Model  Accuracy  Sensitivity  Specificity  TP   TN  FP  FN     Size_KB  Latency_ms
  3axis_no_HR          kNN  0.857985     0.749577     0.915913 443 1013  93 148  424.125000    1.123398
  3axis_no_HR RandomForest  0.885091     0.798646     0.931284 472 1030  76 119 9818.336914    4.195942
  3axis_no_HR   NaiveBayes  0.601061     0.972927     0.402351 575  445 661  16    1.256836    0.104574
  3axis_no_HR          ANN  0.846199     0.758037     0.893309 448  988 118 143   62.503906    0.099616
  3axis_no_HR      XGBoost  0.880966     0.812183     0.917722 480 1015  91 111  270.468750    0.502185
3axis_with_HR          kNN  0.879788     0.768190     0.939421 454 1039  67 137  450.632812    3.365505
3axis_with_HR RandomForest  0.898055     0.822335     0.938517 486 1038  68 105 8933.493164    4.151742
3axis_with_HR   NaiveBayes  0.601650     0.972927     0.403255 575  446 660  16    1.288086    0.104127
3axis_with_HR          ANN  0.846199     0.835871     0.851718 494  942 164  97   61.800781    0.097979
3axis_with_HR      XGBoost  0.921037     0.849408     0.959313 502 1061  45  89  256.320312    0.725692
  6axis_no_HR          kNN  0.864146     0.754237     0.922937 445 1018  85 145  819.683594    3.630434
  6axis_no_HR RandomForest  0.894271     0.803390     0.942883 474 1040  63 116 8474.743164    4.193265
  6axis_no_HR   NaiveBayes  0.623154     0.957627     0.444243 565  490 613  25    1.725586    0.105501
  6axis_no_HR          ANN  0.850561     0.828814     0.862194 489  951 152 101   77.332031    0.099858
  6axis_no_HR      XGBoost  0.900177     0.833898     0.935630 492 1032  71  98  271.130859  111.086605
6axis_with_HR          kNN  0.878323     0.786441     0.927471 464 1023  80 126  846.125000  121.735967
6axis_with_HR RandomForest  0.902540     0.805085     0.954669 475 1053  50 115 8301.774414    5.007562
6axis_with_HR   NaiveBayes  0.621973     0.959322     0.441523 566  487 616  24    1.756836    0.128005
6axis_with_HR          ANN  0.871825     0.849153     0.883953 501  975 128  89   77.425781    0.137005
6axis_with_HR      XGBoost  0.923213     0.866102     0.953762 511 1052  51  79  274.250000  113.487898
  9axis_no_HR          kNN  0.931373     0.905923     0.945180 520 1000  58  54 1172.460938   32.263754
  9axis_no_HR RandomForest  0.934436     0.891986     0.957467 512 1013  45  62 5997.868164    4.873867
  9axis_no_HR   NaiveBayes  0.623775     0.935540     0.454631 537  481 577  37    2.194336    0.130546
  9axis_no_HR          ANN  0.931373     0.912892     0.941399 524  996  62  50   91.941406    0.140845
  9axis_no_HR      XGBoost  0.947917     0.925087     0.960302 531 1016  42  43  245.559570   58.174064
9axis_with_HR          kNN  0.934436     0.911150     0.947070 523 1002  56  51 1197.949219    4.796903
9axis_with_HR RandomForest  0.941176     0.904181     0.961248 519 1017  41  55 5927.086914    4.571879
9axis_with_HR   NaiveBayes  0.624387     0.935540     0.455577 537  482 576  37    2.225586    0.106244
9axis_with_HR          ANN  0.928922     0.891986     0.948960 512 1004  54  62   91.503906    0.099571
9axis_with_HR      XGBoost  0.958946     0.949477     0.964083 545 1020  38  29  241.310547   41.064578
==================================================
