Dataset,Case,Model,Accuracy,Sensitivity,Specificity,TP,TN,FP,FN,Size_KB,Latency_ms
HIFD,3axis_no_HR,kNN,0.9935661764705882,0.9758064516129032,0.9988095238095238,242,839,1,6,271.75,2.126646041870117
HIFD,3axis_no_HR,RandomForest,0.9963235294117647,0.9838709677419355,1.0,244,840,0,4,269.5869140625,5.253696441650391
HIFD,3axis_no_HR,NaiveBayes,0.9944852941176471,0.9758064516129032,1.0,242,840,0,6,1.2568359375,0.11312723159790039
HIFD,3axis_no_HR,ANN,0.9944852941176471,0.9758064516129032,1.0,242,840,0,6,57.78515625,0.11684656143188477
HIFD,3axis_no_HR,XGBoost,0.9963235294117647,0.9838709677419355,1.0,244,840,0,4,90.0927734375,143.81209135055542
HIFD,3axis_with_HR,kNN,0.9944852941176471,0.9758064516129032,1.0,242,840,0,6,288.734375,251.3906216621399
HIFD,3axis_with_HR,RandomForest,0.9963235294117647,0.9838709677419355,1.0,244,840,0,4,268.4931640625,7.487587928771973
HIFD,3axis_with_HR,NaiveBayes,0.9944852941176471,0.9758064516129032,1.0,242,840,0,6,1.2880859375,0.17257452011108398
HIFD,3axis_with_HR,ANN,0.9944852941176471,0.9758064516129032,1.0,242,840,0,6,58.75390625,0.16237735748291016
HIFD,3axis_with_HR,XGBoost,0.9972426470588235,0.9879032258064516,1.0,245,840,0,3,90.357421875,145.51834106445312
HIFD,6axis_no_HR,kNN,0.9944852941176471,0.9758064516129032,1.0,242,840,0,6,526.515625,257.23750591278076
HIFD,6axis_no_HR,RandomForest,0.9963235294117647,0.9838709677419355,1.0,244,840,0,4,260.3681640625,5.191845893859863
HIFD,6axis_no_HR,NaiveBayes,0.9944852941176471,0.9758064516129032,1.0,242,840,0,6,1.7255859375,0.12218475341796875
HIFD,6axis_no_HR,ANN,0.9944852941176471,0.9758064516129032,1.0,242,840,0,6,73.00390625,0.1635575294494629
HIFD,6axis_no_HR,XGBoost,0.9963235294117647,0.9838709677419355,1.0,244,840,0,4,86.96484375,144.94412660598755
HIFD,6axis_with_HR,kNN,0.9954044117647058,0.9798387096774194,1.0,243,840,0,5,543.5,256.393404006958
HIFD,6axis_with_HR,RandomForest,0.9963235294117647,0.9838709677419355,1.0,244,840,0,4,250.5244140625,7.554826736450195
HIFD,6axis_with_HR,NaiveBayes,0.9944852941176471,0.9758064516129032,1.0,242,840,0,6,1.7568359375,0.1734328269958496
HIFD,6axis_with_HR,ANN,0.9944852941176471,0.9758064516129032,1.0,242,840,0,6,74.37890625,0.16444921493530273
HIFD,6axis_with_HR,XGBoost,0.9972426470588235,0.9879032258064516,1.0,245,840,0,3,87.7646484375,145.40781259536743
