Case,Model,Accuracy,Sensitivity,Specificity,TP,TN,FP,FN,Size_KB,Latency_ms
3axis_no_HR,kNN,0.973568281938326,0.936,0.9878419452887538,117,325,4,8,113.4375,1.1678719520568848
3axis_no_HR,RandomForest,0.9911894273127754,0.976,0.9969604863221885,122,328,1,3,977.0869140625,4.768899440765381
3axis_no_HR,NaiveBayes,0.9118942731277533,0.976,0.8875379939209727,122,292,37,3,1.2568359375,0.10683488845825195
3axis_no_HR,ANN,0.9911894273127754,0.992,0.9908814589665653,124,326,3,1,60.69140625,0.10197639465332031
3axis_no_HR,XGBoost,0.9911894273127754,0.976,0.9969604863221885,122,328,1,3,122.6689453125,44.970136880874634
6axis_no_HR,kNN,0.9793103448275862,0.968,0.9838709677419355,121,305,5,4,210.4609375,27.046403884887695
6axis_no_HR,RandomForest,0.9839080459770115,0.968,0.9903225806451613,121,307,3,4,853.6494140625,4.383689880371094
6axis_no_HR,NaiveBayes,0.9333333333333333,0.96,0.9225806451612903,120,286,24,5,1.7255859375,0.10181856155395508
6axis_no_HR,ANN,0.9839080459770115,0.968,0.9903225806451613,121,307,3,4,75.00390625,0.09592986106872559
6axis_no_HR,XGBoost,0.9862068965517241,0.968,0.9935483870967742,121,308,2,4,116.2763671875,45.077840089797974
9axis_no_HR,kNN,0.9816091954022989,0.952,0.9935483870967742,119,308,2,6,312.296875,25.918637990951538
9axis_no_HR,RandomForest,0.9839080459770115,0.968,0.9903225806451613,121,307,3,4,897.3994140625,4.1586267948150635
9axis_no_HR,NaiveBayes,0.9310344827586207,0.944,0.9258064516129032,118,287,23,7,2.1943359375,0.1016385555267334
9axis_no_HR,ANN,0.9954022988505747,1.0,0.9935483870967742,125,308,2,0,88.69140625,0.09609723091125488
9axis_no_HR,XGBoost,0.9885057471264368,0.968,0.9967741935483871,121,309,1,4,113.154296875,43.57929277420044
