UMAFall ML Experiment Results Summary
==================================================
       Case        Model  Accuracy  Sensitivity  Specificity  TP  TN  FP  FN    Size_KB  Latency_ms
3axis_no_HR          kNN  0.973568        0.936     0.987842 117 325   4   8 113.437500    1.167872
3axis_no_HR RandomForest  0.991189        0.976     0.996960 122 328   1   3 977.086914    4.768899
3axis_no_HR   NaiveBayes  0.911894        0.976     0.887538 122 292  37   3   1.256836    0.106835
3axis_no_HR          ANN  0.991189        0.992     0.990881 124 326   3   1  60.691406    0.101976
3axis_no_HR      XGBoost  0.991189        0.976     0.996960 122 328   1   3 122.668945   44.970137
6axis_no_HR          kNN  0.979310        0.968     0.983871 121 305   5   4 210.460938   27.046404
6axis_no_HR RandomForest  0.983908        0.968     0.990323 121 307   3   4 853.649414    4.383690
6axis_no_HR   NaiveBayes  0.933333        0.960     0.922581 120 286  24   5   1.725586    0.101819
6axis_no_HR          ANN  0.983908        0.968     0.990323 121 307   3   4  75.003906    0.095930
6axis_no_HR      XGBoost  0.986207        0.968     0.993548 121 308   2   4 116.276367   45.077840
9axis_no_HR          kNN  0.981609        0.952     0.993548 119 308   2   6 312.296875   25.918638
9axis_no_HR RandomForest  0.983908        0.968     0.990323 121 307   3   4 897.399414    4.158627
9axis_no_HR   NaiveBayes  0.931034        0.944     0.925806 118 287  23   7   2.194336    0.101639
9axis_no_HR          ANN  0.995402        1.000     0.993548 125 308   2   0  88.691406    0.096097
9axis_no_HR      XGBoost  0.988506        0.968     0.996774 121 309   1   4 113.154297   43.579293
==================================================
