Case,Model,Accuracy,Sensitivity,Specificity,TP,TN,FP,FN,Size_KB,Latency_ms
3axis_no_HR,kNN,0.973568281938326,0.936,0.9878419452887538,117,325,4,8,113.4375,1.2355327606201172
3axis_no_HR,RandomForest,0.9911894273127754,0.976,0.9969604863221885,122,328,1,3,977.0869140625,5.540215253829956
3axis_no_HR,NaiveBayes,0.9118942731277533,0.976,0.8875379939209727,122,292,37,3,1.2568359375,0.19087457656860352
3axis_no_HR,ANN,0.9911894273127754,0.992,0.9908814589665653,124,326,3,1,60.69140625,0.12551021575927734
3axis_no_HR,XGBoost,0.9911894273127754,0.976,0.9969604863221885,122,328,1,3,122.6689453125,77.95729184150696
6axis_no_HR,kNN,0.9793103448275862,0.968,0.9838709677419355,121,305,5,4,210.4609375,89.26464176177979
6axis_no_HR,RandomForest,0.9839080459770115,0.968,0.9903225806451613,121,307,3,4,853.6494140625,5.102373361587524
6axis_no_HR,NaiveBayes,0.9333333333333333,0.96,0.9225806451612903,120,286,24,5,1.7255859375,0.1278221607208252
6axis_no_HR,ANN,0.9839080459770115,0.968,0.9903225806451613,121,307,3,4,75.00390625,0.12369489669799803
6axis_no_HR,XGBoost,0.9862068965517241,0.968,0.9935483870967742,121,308,2,4,116.2763671875,78.0018150806427
9axis_no_HR,kNN,0.9816091954022989,0.952,0.9935483870967742,119,308,2,6,312.296875,82.569020986557
9axis_no_HR,RandomForest,0.9839080459770115,0.968,0.9903225806451613,121,307,3,4,897.3994140625,5.134199857711792
9axis_no_HR,NaiveBayes,0.9310344827586207,0.944,0.9258064516129032,118,287,23,7,2.1943359375,0.12863683700561523
9axis_no_HR,ANN,0.9954022988505747,1.0,0.9935483870967742,125,308,2,0,88.69140625,0.11857461929321289
9axis_no_HR,XGBoost,0.9885057471264368,0.968,0.9967741935483871,121,309,1,4,113.154296875,91.19339990615845
